id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1378579518256902144,1378397091806908417,2021-04-04 10:55:44 India Standard Time,2021-04-04,10:55:44,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,"@mehulmpt Hahaha, pretty dope",it,[],[],[],0,0,4,[],[],https://twitter.com/curiousharish/status/1378579518256902144,False,,0,,,,,,,,"[{'screen_name': 'mehulmpt', 'name': 'Mehul Mohan', 'id': '489468287'}]",,,,
1378297314830295041,1378283879098802178,2021-04-03 16:14:22 India Standard Time,2021-04-03,16:14:22,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@shobhitic hahaha,tl,[],[],[],0,0,3,[],[],https://twitter.com/curiousharish/status/1378297314830295041,False,,0,,,,,,,,"[{'screen_name': 'shobhitic', 'name': 'Shobhit Bakliwal', 'id': '122631196'}]",,,,
1378260260058636288,1378244417119657984,2021-04-03 13:47:07 India Standard Time,2021-04-03,13:47:07,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@kcap_in @pmariwala @atulsian @Posist @jivraj_sachar @AngelListIndia @rahulrmv @Jsumsingh @urvi_jain8 @akashkadyan @vindytalks @menon_arundhati @jivraj_sachar killing it,en,[],[],[],1,0,4,[],[],https://twitter.com/curiousharish/status/1378260260058636288,False,,0,,,,,,,,"[{'screen_name': 'kcap_in', 'name': 'Knowledge Capital', 'id': '1156667661922648064'}, {'screen_name': 'pmariwala', 'name': 'Paula Mariwala', 'id': '80002695'}, {'screen_name': 'atulsian', 'name': 'Ashish Tulsian', 'id': '9948542'}, {'screen_name': 'Posist', 'name': 'POSist Technologies', 'id': '313179257'}, {'screen_name': 'jivraj_sachar', 'name': 'Jivraj Singh Sachar', 'id': '933401990100525056'}, {'screen_name': 'AngelListIndia', 'name': 'AngelList India', 'id': '811097472739094528'}, {'screen_name': 'rahulrmv', 'name': 'Rahul Gupta ㊗️', 'id': '24162502'}, {'screen_name': 'Jsumsingh', 'name': 'Jai Sumer Singh', 'id': '448845327'}, {'screen_name': 'urvi_jain8', 'name': 'Urvi', 'id': '853631329061163009'}, {'screen_name': 'akashkadyan', 'name': 'Akash Kadyan', 'id': '1173241355994222592'}, {'screen_name': 'vindytalks', 'name': 'Vindhya C📸', 'id': '2437107206'}, {'screen_name': 'menon_arundhati', 'name': 'Arundhati Menon', 'id': '780457848'}]",,,,
1378259231632056321,1378251286638776320,2021-04-03 13:43:02 India Standard Time,2021-04-03,13:43:02,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@pareshmukh Oh I see. Good luck!,en,[],[],[],0,0,0,[],[],https://twitter.com/curiousharish/status/1378259231632056321,False,,0,,,,,,,,"[{'screen_name': 'pareshmukh', 'name': 'Paresh Deshmukh', 'id': '967288226749718528'}]",,,,
1378258996142862340,1378250684420657153,2021-04-03 13:42:06 India Standard Time,2021-04-03,13:42:06,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@ShahRathin very wrong indeed,en,[],[],[],0,0,2,[],[],https://twitter.com/curiousharish/status/1378258996142862340,False,,0,,,,,,,,"[{'screen_name': 'ShahRathin', 'name': 'Rathin Shah', 'id': '389453246'}]",,,,
1378258557347373056,1378254947758694404,2021-04-03 13:40:21 India Standard Time,2021-04-03,13:40:21,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@VarunMayya Congrats dude!,en,[],[],[],0,0,4,[],[],https://twitter.com/curiousharish/status/1378258557347373056,False,,0,,,,,,,,"[{'screen_name': 'VarunMayya', 'name': 'Varun Mayya', 'id': '567961995'}]",,,,
1378257662878474243,1378251286638776320,2021-04-03 13:36:48 India Standard Time,2021-04-03,13:36:48,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@pareshmukh That's awesome dude! Product link?,en,[],[],[],1,0,4,[],[],https://twitter.com/curiousharish/status/1378257662878474243,False,,0,,,,,,,,"[{'screen_name': 'pareshmukh', 'name': 'Paresh Deshmukh', 'id': '967288226749718528'}]",,,,
1377941857288642563,1377938002773610499,2021-04-02 16:41:54 India Standard Time,2021-04-02,16:41:54,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,"@mehulmpt @codedamncom I'm very bullish on ""do and learn"" for coding rather than ""watch and learn""",en,[],[],[],0,1,6,[],[],https://twitter.com/curiousharish/status/1377941857288642563,False,,0,,,,,,,,"[{'screen_name': 'mehulmpt', 'name': 'Mehul Mohan', 'id': '489468287'}, {'screen_name': 'codedamncom', 'name': 'codedamn', 'id': '3339014113'}]",,,,
1377579014013943810,1377577984320696328,2021-04-01 16:40:05 India Standard Time,2021-04-01,16:40:05,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,"@rosiesherry Building a college student community ( https://t.co/3qVtrMeLI1). Has 30,000+ members from across 2,500+ colleges",en,[],['http://clinify.in'],[],1,0,6,[],[],https://twitter.com/curiousharish/status/1377579014013943810,False,,0,,,,,,,,"[{'screen_name': 'rosiesherry', 'name': 'Rosie Sherry', 'id': '2204961'}]",,,,
1377496622611931141,1377496622611931141,2021-04-01 11:12:42 India Standard Time,2021-04-01,11:12:42,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,Discord launched a Clubhouse feature last night! See y'all at some upcoming community events on Clinify,en,[],[],[],0,0,22,[],[],https://twitter.com/curiousharish/status/1377496622611931141,False,https://twitter.com/ZeusAbhijeet/status/1377346731881295872,0,,,,,,,,[],,,,
1377182815737892870,1376933359717244931,2021-03-31 14:25:44 India Standard Time,2021-03-31,14:25:44,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@gauravmunjal TikTok xD,hu,[],[],[],0,0,13,[],[],https://twitter.com/curiousharish/status/1377182815737892870,False,,0,,,,,,,,"[{'screen_name': 'gauravmunjal', 'name': 'Gaurav Munjal', 'id': '31501423'}]",,,,
1376461331000270849,1376461331000270849,2021-03-29 14:38:49 India Standard Time,2021-03-29,14:38:49,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,"No flex but I hit 100,000 subscribers on YouTube.",en,[],[],[],38,4,565,[],[],https://twitter.com/curiousharish/status/1376461331000270849,False,,0,,,,,,,,[],,,,
1375881659984187394,1375881659984187394,2021-03-28 00:15:25 India Standard Time,2021-03-28,00:15:25,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,He's a BITSian damn,en,[],[],[],1,7,55,[],[],https://twitter.com/curiousharish/status/1375881659984187394,False,https://twitter.com/nasdaily/status/1375794738805280779,0,,,,,,,,[],,,,
1375748751805968384,1375748751805968384,2021-03-27 15:27:17 India Standard Time,2021-03-27,15:27:17,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,A kid crushed me at chess today. Ego level is back to 0,en,[],[],[],8,2,107,[],[],https://twitter.com/curiousharish/status/1375748751805968384,False,,0,,,,,,,,[],,,,
1375678648078921729,1375678648078921729,2021-03-27 10:48:43 India Standard Time,2021-03-27,10:48:43,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@mastersofscale  by @reidhoffman feels like a movie more than a podcast.,en,"[{'screen_name': 'reidhoffman', 'name': 'reid hoffman', 'id': '10078'}]",[],[],0,0,0,[],[],https://twitter.com/curiousharish/status/1375678648078921729,False,,0,,,,,,,,[],,,,
1375359968505778181,1375090932085743620,2021-03-26 13:42:24 India Standard Time,2021-03-26,13:42:24,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@shivangixgupta Humans prefer cooked food,en,[],[],[],0,0,0,[],[],https://twitter.com/curiousharish/status/1375359968505778181,False,,0,,,,,,,,"[{'screen_name': 'shivangixgupta', 'name': 'Shivangi Gupta', 'id': '1351088584749703169'}]",,,,
1375113619151618049,1375092962208542722,2021-03-25 21:23:29 India Standard Time,2021-03-25,21:23:29,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@kushalbhagia Gonna binge watch the playlist tonight,en,[],[],[],1,0,2,[],[],https://twitter.com/curiousharish/status/1375113619151618049,False,,0,,,,,,,,"[{'screen_name': 'kushalbhagia', 'name': 'Kushal Bhagia', 'id': '52357195'}]",,,,
1375112682303483905,1375090932085743620,2021-03-25 21:19:46 India Standard Time,2021-03-25,21:19:46,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@shivangixgupta Ewwww..,und,[],[],[],1,0,3,[],[],https://twitter.com/curiousharish/status/1375112682303483905,False,,0,,,,,,,,"[{'screen_name': 'shivangixgupta', 'name': 'Shivangi Gupta', 'id': '1351088584749703169'}]",,,,
1375031867716476933,1374705811918790656,2021-03-25 15:58:38 India Standard Time,2021-03-25,15:58:38,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@BaschML Good luck!,en,[],[],[],1,0,1,[],[],https://twitter.com/curiousharish/status/1375031867716476933,False,,0,,,,,,,,"[{'screen_name': 'BaschML', 'name': 'Basch', 'id': '1373644486631301120'}]",,,,
1375009878008164352,1374982175662120961,2021-03-25 14:31:16 India Standard Time,2021-03-25,14:31:16,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@SarthakC_  https://t.co/FsNi7EJJhE,und,[],[],['https://pbs.twimg.com/media/ExUELn-VgAEbDE_.jpg'],0,0,6,[],[],https://twitter.com/curiousharish/status/1375009878008164352,False,,1,https://pbs.twimg.com/media/ExUELn-VgAEbDE_.jpg,,,,,,,[],,,,
1374709098676035588,1374460642770317313,2021-03-24 18:36:04 India Standard Time,2021-03-24,18:36:04,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@Monika_Zealth @WhoGaurav @ycombinator Congratulations!,en,[],[],[],0,0,2,[],[],https://twitter.com/curiousharish/status/1374709098676035588,False,,0,,,,,,,,"[{'screen_name': 'Monika_Zealth', 'name': 'Monika Mehta', 'id': '1256511125551583232'}, {'screen_name': 'WhoGaurav', 'name': 'Gaurav Arora', 'id': '721850862'}, {'screen_name': 'ycombinator', 'name': 'Y Combinator', 'id': '113130846'}]",,,,
1374566563970392065,1374435950617497604,2021-03-24 09:09:41 India Standard Time,2021-03-24,09:09:41,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@yashhsm This is how Yash became a millionaire,en,[],[],[],0,0,8,[],[],https://twitter.com/curiousharish/status/1374566563970392065,False,,0,,,,,,,,"[{'screen_name': 'yashhsm', 'name': 'Yash Agarwal', 'id': '731711403984338944'}]",,,,
1374307028441559040,1374306868445646851,2021-03-23 15:58:23 India Standard Time,2021-03-23,15:58:23,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@novadigvijay Following,en,[],[],[],0,0,2,[],[],https://twitter.com/curiousharish/status/1374307028441559040,False,,0,,,,,,,,[],,,,
1374284059480711174,1374284059480711174,2021-03-23 14:27:07 India Standard Time,2021-03-23,14:27:07,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,Everyone looks better with mask on,en,[],[],[],5,3,105,[],[],https://twitter.com/curiousharish/status/1374284059480711174,False,,0,,,,,,,,[],,,,
1374048210302341120,1374045931100774402,2021-03-22 22:49:56 India Standard Time,2021-03-22,22:49:56,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@VarunMayya @virajraundal8,und,[],[],[],1,0,7,[],[],https://twitter.com/curiousharish/status/1374048210302341120,False,,0,,,,,,,,"[{'screen_name': 'VarunMayya', 'name': 'Varun Mayya', 'id': '567961995'}]",,,,
1374024838545739781,1374002005136445444,2021-03-22 21:17:04 India Standard Time,2021-03-22,21:17:04,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@VarunSrinivas17 ayo,und,[],[],[],0,0,2,[],[],https://twitter.com/curiousharish/status/1374024838545739781,False,,0,,,,,,,,"[{'screen_name': 'VarunSrinivas17', 'name': 'Varun Srinivas', 'id': '1386370558774767618'}]",,,,
1374024791577927681,1374002005136445444,2021-03-22 21:16:53 India Standard Time,2021-03-22,21:16:53,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@Aarohir58894980  https://t.co/6WowAjdJve,und,[],['https://skribbl.io/'],[],1,0,2,[],[],https://twitter.com/curiousharish/status/1374024791577927681,False,,0,,,,,,,,[],,,,
1374024580994453512,1374002005136445444,2021-03-22 21:16:02 India Standard Time,2021-03-22,21:16:02,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@HumanKshitij @ProductHunt Thanks man!,en,[],[],[],2,0,2,[],[],https://twitter.com/curiousharish/status/1374024580994453512,False,,0,,,,,,,,"[{'screen_name': 'HumanKshitij', 'name': 'Curious Human (Kshitij Malhotra)', 'id': '1330199065431314438'}, {'screen_name': 'ProductHunt', 'name': 'Product Hunt 😸', 'id': '2208027565'}]",,,,
